NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,30,Número-índice,64.56364,1,Brasil,201705,maio 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,63.34041,1,Brasil,201706,junho 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,64.36933,1,Brasil,201707,julho 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,64.73963,1,Brasil,201708,agosto 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,64.07548,1,Brasil,201709,setembro 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,65.30406,1,Brasil,201710,outubro 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,69.57105,1,Brasil,201711,novembro 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,85.69866,1,Brasil,201712,dezembro 2017,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,66.01851,1,Brasil,201801,janeiro 2018,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,59.83273,1,Brasil,201802,fevereiro 2018,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,68.63115,1,Brasil,201803,março 2018,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,64.13586,1,Brasil,201804,abril 2018,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,67.19206,1,Brasil,201805,maio 2018,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,66.81658,1,Brasil,201806,junho 2018,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,66.24578,1,Brasil,201807,julho 2018,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,69.63828,1,Brasil,201808,agosto 2018,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,66.76311,1,Brasil,201809,setembro 2018,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
