NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,30,Número-índice,105.51240,1,Brasil,202307,julho 2023,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,111.26735,1,Brasil,202308,agosto 2023,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,106.28180,1,Brasil,202309,setembro 2023,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,107.01406,1,Brasil,202310,outubro 2023,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,102.82135,1,Brasil,202311,novembro 2023,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,92.73326,1,Brasil,202312,dezembro 2023,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,93.75190,1,Brasil,202401,janeiro 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,92.36098,1,Brasil,202402,fevereiro 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,96.50021,1,Brasil,202403,março 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,99.72287,1,Brasil,202404,abril 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,103.50713,1,Brasil,202405,maio 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,105.19257,1,Brasil,202406,junho 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,111.97464,1,Brasil,202407,julho 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,113.82277,1,Brasil,202408,agosto 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,109.84273,1,Brasil,202409,setembro 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,113.42148,1,Brasil,202410,outubro 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,104.49482,1,Brasil,202411,novembro 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,93.99136,1,Brasil,202412,dezembro 2024,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,94.96574,1,Brasil,202501,janeiro 2025,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,93.51768,1,Brasil,202502,fevereiro 2025,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,99.58650,1,Brasil,202503,março 2025,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,99.44225,1,Brasil,202504,abril 2025,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
