NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,2,%,3.22,1,Brasil,202007,julho 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,3.31,1,Brasil,202008,agosto 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,2.34,1,Brasil,202009,setembro 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,3.41,1,Brasil,202010,outubro 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.38,1,Brasil,202011,novembro 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.39,1,Brasil,202012,dezembro 2020,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,3.55,1,Brasil,202101,janeiro 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,5.16,1,Brasil,202102,fevereiro 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,4.63,1,Brasil,202103,março 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,2.19,1,Brasil,202104,abril 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.99,1,Brasil,202105,maio 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.29,1,Brasil,202106,junho 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.86,1,Brasil,202107,julho 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.89,1,Brasil,202108,agosto 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.25,1,Brasil,202109,setembro 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,2.26,1,Brasil,202110,outubro 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.46,1,Brasil,202111,novembro 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.08,1,Brasil,202112,dezembro 2021,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.20,1,Brasil,202201,janeiro 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.54,1,Brasil,202202,fevereiro 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,3.12,1,Brasil,202203,março 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,2.08,1,Brasil,202204,abril 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.81,1,Brasil,202205,maio 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.01,1,Brasil,202206,junho 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.13,1,Brasil,202207,julho 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-3.04,1,Brasil,202208,agosto 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-1.89,1,Brasil,202209,setembro 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.86,1,Brasil,202210,outubro 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.52,1,Brasil,202211,novembro 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-1.26,1,Brasil,202212,dezembro 2022,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.29,1,Brasil,202301,janeiro 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.29,1,Brasil,202302,fevereiro 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.65,1,Brasil,202303,março 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.35,1,Brasil,202304,abril 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-2.88,1,Brasil,202305,maio 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
